80 29
5724 2281 10
7058 8009 6
4875 4123 7
4553 3125 2
1387 9161 1
6155 1666 3
4385 4838 1
4366 291 4
1798 8763 2
3370 8411 10
7085 2132 7
3753 7485 2
3151 3952 10
9042 7088 10
3274 7581 9
1196 2489 7
1356 8105 7
4278 7585 10
9375 8779 5
8336 616 2
1816 1619 5
654 4434 1
2536 421 9
7194 5114 3
4466 2124 9
5782 2738 3
1275 8076 5
1520 6027 9
3226 1397 3
3713 5686 9
9984 300 5
5270 9823 9
4403 2755 6
4632 5264 10
371 930 4
8699 3399 5
8844 9180 2
1370 1138 2
2838 2597 3
5879 7895 10
5986 9462 7
5079 4384 8
2634 9587 4
2566 5050 2
1870 8190 8
600 5086 6
1605 3877 4
1846 6590 4
7737 7028 1
919 7256 10
6472 7933 6
1136 4893 1
7224 3477 3
2541 3835 9
7269 1450 9
2267 5557 5
9528 36 3
2089 4354 2
3217 6838 10
921 3676 5
4110 4289 9
3224 1039 7
1630 9605 10
6084 4749 9
3856 1338 7
1485 5182 9
7193 4234 7
2200 2445 1
6559 7812 1
6893 3737 6
9440 5944 6
3739 4015 9
7103 8285 7
8099 2591 3
6606 1044 1
5119 5243 4
130 5507 3
9914 9825 4
6301 3699 3
946 9825 10
